latitude,longitude,altitude,geometry,city,growth_10-13,population,state
40.7127837,-74.0059413,,Point,New York,4.8%,8405837,New York
34.0522342,-118.2436849,,Point,Los Angeles,4.8%,3884307,California
41.8781136,-87.6297982,,Point,Chicago,-6.1%,2718782,Illinois
29.7604267,-95.3698028,,Point,Houston,11.0%,2195914,Texas
39.9525839,-75.1652215,,Point,Philadelphia,2.6%,1553165,Pennsylvania
33.4483771,-112.0740373,,Point,Phoenix,14.0%,1513367,Arizona
29.4241219,-98.49362819999999,,Point,San Antonio,21.0%,1409019,Texas
32.715738,-117.1610838,,Point,San Diego,10.5%,1355896,California
32.7766642,-96.79698789999999,,Point,Dallas,5.6%,1257676,Texas
37.3382082,-121.8863286,,Point,San Jose,10.5%,998537,California
30.267153,-97.7430608,,Point,Austin,31.7%,885400,Texas
39.768403,-86.158068,,Point,Indianapolis,7.8%,843393,Indiana
30.3321838,-81.65565099999999,,Point,Jacksonville,14.3%,842583,Florida
37.7749295,-122.4194155,,Point,San Francisco,7.7%,837442,California
39.9611755,-82.99879419999999,,Point,Columbus,14.8%,822553,Ohio
35.2270869,-80.8431267,,Point,Charlotte,39.1%,792862,North Carolina
32.7554883,-97.3307658,,Point,Fort Worth,45.1%,792727,Texas
42.331427,-83.0457538,,Point,Detroit,-27.1%,688701,Michigan
31.7775757,-106.4424559,,Point,El Paso,19.4%,674433,Texas
35.1495343,-90.0489801,,Point,Memphis,-5.3%,653450,Tennessee
47.6062095,-122.3320708,,Point,Seattle,15.6%,652405,Washington
39.7392358,-104.990251,,Point,Denver,16.7%,649495,Colorado
38.9071923,-77.0368707,,Point,Washington,13.0%,646449,District of Columbia
42.3600825,-71.0588801,,Point,Boston,9.4%,645966,Massachusetts
36.1626638,-86.7816016,,Point,Nashville-Davidson,16.2%,634464,Tennessee
39.2903848,-76.6121893,,Point,Baltimore,-4.0%,622104,Maryland
35.4675602,-97.5164276,,Point,Oklahoma City,20.2%,610613,Oklahoma
38.2526647,-85.7584557,,Point,Louisville/Jefferson County,10.0%,609893,Kentucky
45.5230622,-122.6764816,,Point,Portland,15.0%,609456,Oregon
36.1699412,-115.1398296,,Point,Las Vegas,24.5%,603488,Nevada
43.0389025,-87.9064736,,Point,Milwaukee,0.3%,599164,Wisconsin
35.0853336,-106.6055534,,Point,Albuquerque,23.5%,556495,New Mexico
32.2217429,-110.926479,,Point,Tucson,7.5%,526116,Arizona
36.7468422,-119.7725868,,Point,Fresno,18.3%,509924,California
38.5815719,-121.4943996,,Point,Sacramento,17.2%,479686,California
33.7700504,-118.1937395,,Point,Long Beach,1.5%,469428,California
39.0997265,-94.5785667,,Point,Kansas City,5.5%,467007,Missouri
33.4151843,-111.8314724,,Point,Mesa,13.5%,457587,Arizona
36.8529263,-75.97798499999999,,Point,Virginia Beach,5.1%,448479,Virginia
33.7489954,-84.3879824,,Point,Atlanta,6.2%,447841,Georgia
38.8338816,-104.8213634,,Point,Colorado Springs,21.4%,439886,Colorado
41.2523634,-95.99798829999999,,Point,Omaha,5.9%,434353,Nebraska
35.7795897,-78.6381787,,Point,Raleigh,48.7%,431746,North Carolina
25.7616798,-80.1917902,,Point,Miami,14.9%,417650,Florida
37.8043637,-122.2711137,,Point,Oakland,1.3%,406253,California
44.977753,-93.2650108,,Point,Minneapolis,4.5%,400070,Minnesota
36.1539816,-95.99277500000001,,Point,Tulsa,1.3%,398121,Oklahoma
41.49932,-81.6943605,,Point,Cleveland,-18.1%,390113,Ohio
37.688889,-97.336111,,Point,Wichita,9.7%,386552,Kansas
32.735687,-97.10806559999999,,Point,Arlington,13.3%,379577,Texas
29.95106579999999,-90.0715323,,Point,New Orleans,-21.6%,378715,Louisiana
35.3732921,-119.0187125,,Point,Bakersfield,48.4%,363630,California
27.950575,-82.4571776,,Point,Tampa,16.0%,352957,Florida
21.3069444,-157.8583333,,Point,Honolulu,-6.2%,347884,Hawaii
39.7294319,-104.8319195,,Point,Aurora,24.4%,345803,Colorado
33.8352932,-117.9145036,,Point,Anaheim,4.7%,345012,California
33.7455731,-117.8678338,,Point,Santa Ana,-1.2%,334227,California
38.6270025,-90.19940419999999,,Point,St. Louis,-8.2%,318416,Missouri
33.9533487,-117.3961564,,Point,Riverside,22.5%,316619,California
27.8005828,-97.39638099999999,,Point,Corpus Christi,14.1%,316381,Texas
38.0405837,-84.5037164,,Point,Lexington-Fayette,18.0%,308428,Kentucky
40.44062479999999,-79.9958864,,Point,Pittsburgh,-8.3%,305841,Pennsylvania
61.2180556,-149.9002778,,Point,Anchorage,15.4%,300950,Alaska
37.9577016,-121.2907796,,Point,Stockton,21.8%,298118,California
39.1031182,-84.5120196,,Point,Cincinnati,-10.1%,297517,Ohio
44.9537029,-93.0899578,,Point,St. Paul,2.8%,294873,Minnesota
41.6639383,-83.55521200000001,,Point,Toledo,-10.0%,282313,Ohio
36.0726354,-79.7919754,,Point,Greensboro,22.3%,279639,North Carolina
40.735657,-74.1723667,,Point,Newark,2.1%,278427,New Jersey
33.0198431,-96.6988856,,Point,Plano,22.4%,274409,Texas
36.0395247,-114.9817213,,Point,Henderson,51.0%,270811,Nevada
40.8257625,-96.6851982,,Point,Lincoln,18.0%,268738,Nebraska
42.88644679999999,-78.8783689,,Point,Buffalo,-11.3%,258959,New York
40.72815749999999,-74.0776417,,Point,Jersey City,7.2%,257342,New Jersey
32.6400541,-117.0841955,,Point,Chula Vista,46.2%,256780,California
41.079273,-85.1393513,,Point,Fort Wayne,1.0%,256496,Indiana
28.5383355,-81.3792365,,Point,Orlando,31.2%,255483,Florida
27.773056,-82.64,,Point,St. Petersburg,0.3%,249688,Florida
33.3061605,-111.8412502,,Point,Chandler,38.7%,249146,Arizona
27.5305671,-99.48032409999999,,Point,Laredo,38.2%,248142,Texas
36.8507689,-76.28587259999999,,Point,Norfolk,5.0%,246139,Virginia
35.9940329,-78.898619,,Point,Durham,29.9%,245475,North Carolina
43.0730517,-89.4012302,,Point,Madison,15.8%,243344,Wisconsin
33.5778631,-101.8551665,,Point,Lubbock,19.6%,239538,Texas
33.6839473,-117.7946942,,Point,Irvine,61.3%,236716,California
36.09985959999999,-80.244216,,Point,Winston-Salem,16.9%,236441,North Carolina
33.5386523,-112.1859866,,Point,Glendale,5.7%,234632,Arizona
32.912624,-96.63888329999999,,Point,Garland,8.5%,234566,Texas
25.8575963,-80.2781057,,Point,Hialeah,3.2%,233394,Florida
39.5296329,-119.8138027,,Point,Reno,26.8%,233294,Nevada
36.7682088,-76.2874927,,Point,Chesapeake,15.1%,230571,Virginia
33.3528264,-111.789027,,Point,Gilbert,96.0%,229972,Arizona
